id,titulo,descripcion,tecnica,medidas,anio,imagenes,orden,created_at,categoria,serie,price,is_available,show_price
28,Trinchera,"Enmarcado de 4 cm de profundidad.
",oleo sobre tabla,"31,5 x 21,5 cm",2023,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/trinchera-1759025739369-IMG20250924203617821HDR.jpg"",""path"":""images/trinchera-1759025739369-IMG20250924203617821HDR.jpg"",""originalName"":""IMG_20250924_203617821_HDR.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/trinchera-1759025741383-IMG20250924203630578HDR.jpg"",""path"":""images/trinchera-1759025741383-IMG20250924203630578HDR.jpg"",""originalName"":""IMG_20250924_203630578_HDR.jpg""}]",21,2025-09-28 02:15:44.347557+00,pintura,personajes,250000,true,true
29,Viento rojo,,acrilico sobre lienzo,50 x 70 cm,2025,"[{""name"":""img_2"",""path"":""images/viento-rojo-1759091793006-IMG20250928160448476HDR.jpg""},{""name"":""img_1"",""path"":""images/viento-rojo-1759091790812-IMG20250928160521837HDR.jpg""}]",12,2025-09-28 20:36:33.911366+00,pintura,paisajes,350000,true,true
30,que nos queda?,"
enmarcado en madera de 3 cm de profundidad",acrilico sobre madera,35 x 50 cm,2025,"[{""name"":""img_2"",""path"":""images/que-nos-queda-1759091972807-20250213152258.jpg""},{""name"":""img_1"",""path"":""images/que-nos-queda-1759091970883-20250213152358.jpg""}]",48,2025-09-28 20:39:33.775371+00,pintura,urbano,270000,true,true
31,rojo animales,,acrilico sobre lienzo,110 x 100 cm,2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/rojo-animales-1759093313780-20250223172854.jpg"",""path"":""images/rojo-animales-1759093313780-20250223172854.jpg"",""originalName"":""20250223_172854.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/rojo-animales-1759093316332-20250206150901.jpg"",""path"":""images/rojo-animales-1759093316332-20250206150901.jpg"",""originalName"":""20250206_150901.jpg""}]",49,2025-09-28 21:01:58.461386+00,pintura,urbano,250000,false,true
32,peninsula,,monocopia sobre papel 200g,33 x 24 cm,2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/peninsula-1759093663133-IMG20250911122319420HDR.jpg"",""path"":""images/peninsula-1759093663133-IMG20250911122319420HDR.jpg"",""originalName"":""IMG_20250911_122319420_HDR.jpg""}]",43,2025-09-28 21:07:45.72381+00,grabado,paisajes,35000,false,true
33,podriamos haber sido un bosque,"Enmarcado en madera de 3 cm de profundidad.
",acrilico sobre madera,35 x 50 cm,2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/podriamos-haber-sido-un-bosque-1759093805089-20250213151642.jpg"",""path"":""images/podriamos-haber-sido-un-bosque-1759093805089-20250213151642.jpg"",""originalName"":""20250213_151642.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/podriamos-haber-sido-un-bosque-1759093809300-20250213151512.jpg"",""path"":""images/podriamos-haber-sido-un-bosque-1759093809300-20250213151512.jpg"",""originalName"":""20250213_151512.jpg""}]",51,2025-09-28 21:10:11.37855+00,pintura,paisajes,270000,true,true
34,dibujo,,lapiz sobre papel 200 g,"17,5 x 25 cm",2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/dibujo-1759094125543-IMG20250911114813068HDR.jpg"",""path"":""images/dibujo-1759094125543-IMG20250911114813068HDR.jpg"",""originalName"":""IMG_20250911_114813068_HDR.jpg""}]",52,2025-09-28 21:15:28.004492+00,dibujo,personajes,50000,true,true
35,sueño,"tirada de 12 impresiones
 tamaño de papel 25 x 32,5 cm 200 g
5 disponibles",linoleo,15 x 20 cm superficie impresa,2022,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/sue-o-1759095773822-20241113124157.jpg"",""path"":""images/sue-o-1759095773822-20241113124157.jpg"",""originalName"":""20241113_124157.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/sue-o-1759095776928-20241113124150.jpg"",""path"":""images/sue-o-1759095776928-20241113124150.jpg"",""originalName"":""20241113_124150.jpg""}]",54,2025-09-28 21:43:00.069632+00,grabado,paisajes,13000,true,true
36,por el valle,,aerosol sobre lienzo,80 x 120 cm,2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/por-el-valle-1759096295973-IMG20250823164558089.jpg"",""path"":""images/por-el-valle-1759096295973-IMG20250823164558089.jpg"",""originalName"":""IMG_20250823_164558089.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/por-el-valle-1759096297663-IMG20250823164528408.jpg"",""path"":""images/por-el-valle-1759096297663-IMG20250823164528408.jpg"",""originalName"":""IMG_20250823_164528408.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/por-el-valle-1759096298426-IMG20250822134100964.jpg"",""path"":""images/por-el-valle-1759096298426-IMG20250822134100964.jpg"",""originalName"":""IMG_20250822_134100964.jpg""}]",33,2025-09-28 21:51:40.464745+00,pintura,paisajes,300000,true,true
37,oportunidades,sin marco,tinta y lapiz de color sobre papel,21 x 29 cm,2018,"[{""name"":""undefined"",""path"":""images/oportunidades-1759096720779-202302091128472.jpg""},{""name"":""undefined"",""path"":""images/oportunidades-1759096717189-202302091130022.jpg""},{""name"":""undefined"",""path"":""images/oportunidades-1759096719393-202302091129092.jpg""}]",55,2025-09-28 21:58:42.130444+00,dibujo,urbano,70000,true,true
